,exp,sub_id,segment_seconds,path,activation_arr,valence_arr,segment_id,valence,arousal,emotion
67,personal,1830001,2.0,/z/lancelcy/R21/mfbs/124.npy,{5|7|7|6|8},{6|7|5|5|7},124,2,2,0.0;0.4;0.6
68,personal,1830001,3.0,/z/lancelcy/R21/mfbs/125.npy,{4|6|7|6|7},{7|5|5|6|6},125,2,2,0.0;0.4;0.6
69,personal,1830001,6.0,/z/lancelcy/R21/mfbs/126.npy,{5|5|6|7|6|6},{5|5|5|6|5|7},126,1,2,0.0;0.6666666666666666;0.3333333333333333
70,personal,1830001,6.0,/z/lancelcy/R21/mfbs/127.npy,{4|6|7|5|5},{5|5|5|5|5},127,1,1,0.0;1.0;0.0
71,personal,1830001,3.0,/z/lancelcy/R21/mfbs/128.npy,{5|7|7|7|7},{5|5|6|5|6},128,1,2,0.0;0.6;0.4
72,personal,1830001,11.0,/z/lancelcy/R21/mfbs/130.npy,{7|5|6|7|6|7},{6|5|6|6|6|7},130,2,2,0.0;0.16666666666666666;0.8333333333333334
73,personal,1830001,3.0,/z/lancelcy/R21/mfbs/131.npy,{5|6|7|7|7},{5|4|5|5|6},131,1,2,0.2;0.6;0.2
74,personal,1830001,8.0,/z/lancelcy/R21/mfbs/132.npy,{7|5|6|7|6|5},{6|5|5|6|5|5},132,1,2,0.0;0.6666666666666666;0.3333333333333333
75,personal,1830001,4.0,/z/lancelcy/R21/mfbs/134.npy,{5|5|6|5|5},{6|6|5|5|5},134,1,1,0.0;0.6;0.4
76,personal,1830001,6.0,/z/lancelcy/R21/mfbs/135.npy,{6|5|6|6|7|7|6|6|6},{7|5|6|5|5|5|5|6|7},135,1,2,0.0;0.5555555555555556;0.4444444444444444
77,personal,1830001,5.0,/z/lancelcy/R21/mfbs/136.npy,{8|6|7|7|7|7},{3|5|4|3|5|5},136,0,2,0.5;0.5;0.0
78,personal,1830001,6.0,/z/lancelcy/R21/mfbs/138.npy,{5|6|7|7|6|7|4},{5|4|4|5|5|5|5},138,1,2,0.2857142857142857;0.7142857142857143;0.0
79,personal,1830001,4.0,/z/lancelcy/R21/mfbs/141.npy,{4|5|6|5|4},{5|6|6|6|5},141,2,0,0.0;0.4;0.6
80,personal,1830001,2.0,/z/lancelcy/R21/mfbs/142.npy,{4|4|6|5|4},{6|6|5|5|5},142,1,0,0.0;0.6;0.4
81,personal,1830001,8.0,/z/lancelcy/R21/mfbs/143.npy,{4|5|7|7|5},{5|7|6|6|7},143,2,1,0.0;0.2;0.8
82,personal,1830001,3.0,/z/lancelcy/R21/mfbs/144.npy,{6|4|6|6|6|6},{7|6|6|7|8|8},144,2,2,0.0;0.0;1.0
83,personal,1830001,19.0,/z/lancelcy/R21/mfbs/145.npy,{8|5|7|7|8|7},{7|6|5|5|5|6},145,1,2,0.0;0.5;0.5
84,personal,1830001,2.0,/z/lancelcy/R21/mfbs/146.npy,{5|7|8|7|8},{7|7|6|6|6},146,2,2,0.0;0.0;1.0
85,personal,1830001,2.0,/z/lancelcy/R21/mfbs/147.npy,{4|5|4|3|4},{4|5|6|3|4},147,0,0,0.6;0.2;0.2
86,personal,1830001,4.0,/z/lancelcy/R21/mfbs/148.npy,{5|6|6|6|5},{6|6|6|4|7},148,2,2,0.2;0.0;0.8
87,personal,1830001,11.0,/z/lancelcy/R21/mfbs/149.npy,{5|7|7|7|8},{5|7|4|6|7},149,2,2,0.2;0.2;0.6
88,personal,1830001,8.0,/z/lancelcy/R21/mfbs/150.npy,{5|7|7|6|6},{5|5|5|6|7},150,1,2,0.0;0.6;0.4
89,personal,1830001,3.0,/z/lancelcy/R21/mfbs/151.npy,{4|7|6|5|7},{5|6|5|6|8},151,2,2,0.0;0.4;0.6
90,personal,1830001,6.0,/z/lancelcy/R21/mfbs/152.npy,{5|3|4|4|6|3},{4|5|6|5|6|4},152,0,0,0.3333333333333333;0.3333333333333333;0.3333333333333333
91,personal,1830001,3.0,/z/lancelcy/R21/mfbs/156.npy,{6|5|6|7|6|7},{6|5|5|5|6|8},156,1,2,0.0;0.5;0.5
92,personal,1830001,6.0,/z/lancelcy/R21/mfbs/157.npy,{7|7|7|6},{7|6|7|8},157,2,2,0.0;0.0;1.0
93,personal,1830001,6.0,/z/lancelcy/R21/mfbs/158.npy,{7|4},{7|7},158,2,0,0.0;0.0;1.0
94,personal,1830001,4.0,/z/lancelcy/R21/mfbs/160.npy,{5|3|5|4|4|4|4|5},{5|4|6|6|6|7|7|5},160,2,0,0.125;0.25;0.625
95,personal,1830001,3.0,/z/lancelcy/R21/mfbs/161.npy,{7|4|5|7|5|6},{5|5|4|5|5|7},161,1,2,0.16666666666666666;0.6666666666666666;0.16666666666666666
96,personal,1830001,3.0,/z/lancelcy/R21/mfbs/162.npy,{3|4|5|3|4|5|5|4},{4|4|4|6|5|5|5|4},162,0,0,0.5;0.375;0.125
97,personal,1830001,2.0,/z/lancelcy/R21/mfbs/166.npy,{6|4|5|6|5|5},{6|7|7|7|6|6},166,2,1,0.0;0.0;1.0
98,personal,1830001,9.0,/z/lancelcy/R21/mfbs/167.npy,{8|5|7|7|7|8},{8|6|7|7|8|9},167,2,2,0.0;0.0;1.0
99,personal,1830001,3.0,/z/lancelcy/R21/mfbs/168.npy,{8|4|7|6|6|8},{4|5|4|4|3|7},168,0,2,0.6666666666666666;0.16666666666666666;0.16666666666666666
100,personal,1830001,7.0,/z/lancelcy/R21/mfbs/169.npy,{5|4|5|6|4|5},{7|6|6|7|6|7},169,2,1,0.0;0.0;1.0
101,personal,1830001,3.0,/z/lancelcy/R21/mfbs/170.npy,{8|8|4|6|6|5|6|6|6|4|5},{6|6|5|5|5|5|5|5|6|5|6},170,1,2,0.0;0.6363636363636364;0.36363636363636365
102,personal,1830001,5.0,/z/lancelcy/R21/mfbs/175.npy,{5|7|6|6|1|4},{5|5|5|4|1|5},175,1,2,0.3333333333333333;0.6666666666666666;0.0
103,personal,1830001,3.0,/z/lancelcy/R21/mfbs/176.npy,{5|4|5|6|5|6|6|6|5|5},{5|5|5|5|5|6|5|5|5|5},176,1,1,0.0;0.9;0.1
104,personal,1830001,3.0,/z/lancelcy/R21/mfbs/177.npy,{6|7|7|7|8},{5|3|4|5|7},177,0,2,0.4;0.4;0.2
105,personal,1830001,3.0,/z/lancelcy/R21/mfbs/178.npy,{7|5|7|7|7|5},{7|5|7|6|7|4},178,2,2,0.16666666666666666;0.16666666666666666;0.6666666666666666
106,personal,1830001,2.0,/z/lancelcy/R21/mfbs/179.npy,{3|4|5|4|2},{6|5|5|6|2},179,1,0,0.2;0.4;0.4
107,personal,1830001,8.0,/z/lancelcy/R21/mfbs/191.npy,{5|5|7|7|7|8},{5|5|6|5|5|8},191,1,2,0.0;0.6666666666666666;0.3333333333333333
108,personal,1830001,4.0,/z/lancelcy/R21/mfbs/194.npy,{5|7|7|8|9},{5|3|3|4|9},194,0,2,0.6;0.2;0.2
109,personal,1830001,10.0,/z/lancelcy/R21/mfbs/195.npy,{7|6|7|7|8|9},{3|4|4|3|2|5},195,0,2,0.8333333333333334;0.16666666666666666;0.0
110,personal,1830001,9.0,/z/lancelcy/R21/mfbs/197.npy,{5|4|4|4|5|5|5|4|4},{5|4|4|4|4|4|5|5|3},197,0,0,0.6666666666666666;0.3333333333333333;0.0
111,personal,1830001,13.0,/z/lancelcy/R21/mfbs/198.npy,{5|3|5|7|5|3},{4|5|5|5|5|3},198,1,1,0.3333333333333333;0.6666666666666666;0.0
112,personal,1830001,3.0,/z/lancelcy/R21/mfbs/199.npy,{5|3|3|3|4|3|3|3|4|4|3|2},{5|6|4|6|6|6|6|6|5|5|6|1},199,2,0,0.16666666666666666;0.25;0.5833333333333334
113,personal,1830001,6.0,/z/lancelcy/R21/mfbs/200.npy,{3|5|7|6|5},{5|6|5|6|5},200,1,1,0.0;0.6;0.4
114,personal,1830001,8.0,/z/lancelcy/R21/mfbs/201.npy,{4|5|5|4|6},{5|4|6|5|7},201,1,0,0.2;0.4;0.4
115,personal,1830001,10.0,/z/lancelcy/R21/mfbs/203.npy,{6|5|5|7|5|6},{5|5|6|6|5|6},203,1,1,0.0;0.5;0.5
116,personal,1830001,5.0,/z/lancelcy/R21/mfbs/205.npy,{6|3|5|5|6|7|5|6},{6|5|6|6|6|6|6|8},205,2,2,0.0;0.125;0.875
117,personal,1830001,2.0,/z/lancelcy/R21/mfbs/206.npy,{3|7|7|6|5},{5|5|5|5|5},206,1,2,0.0;1.0;0.0
118,personal,1830001,3.0,/z/lancelcy/R21/mfbs/208.npy,{4|5|4},{4|4|4},208,0,0,1.0;0.0;0.0
119,personal,1830001,3.0,/z/lancelcy/R21/mfbs/209.npy,{5|3|4|4|5|4},{4|4|4|5|4|5},209,0,0,0.6666666666666666;0.3333333333333333;0.0
120,personal,1830001,18.0,/z/lancelcy/R21/mfbs/211.npy,{6|4|5|5|5|6|6|6|5|5|5|5},{4|5|5|4|5|5|5|5|5|5|5|5},211,1,1,0.16666666666666666;0.8333333333333334;0.0
121,personal,1830001,9.0,/z/lancelcy/R21/mfbs/212.npy,{5|8|4|5|6|6|6|7|6|7|7|5|5|5|7},{5|6|5|5|5|6|6|6|5|5|6|5|5|5|6},212,1,2,0.0;0.6;0.4
122,personal,1830001,14.0,/z/lancelcy/R21/mfbs/213.npy,{3|6|7|6|6},{5|5|5|5|5},213,1,2,0.0;1.0;0.0
123,personal,1830001,7.0,/z/lancelcy/R21/mfbs/215.npy,{4|5|6|4|5},{5|5|5|4|5},215,1,0,0.2;0.8;0.0
124,personal,1830001,7.0,/z/lancelcy/R21/mfbs/217.npy,{4|5|6|6|4},{5|6|6|5|4},217,1,0,0.2;0.4;0.4
125,personal,1830001,2.0,/z/lancelcy/R21/mfbs/218.npy,{4|7|7|6|5},{6|7|5|6|5},218,2,2,0.0;0.4;0.6
126,personal,1830001,7.0,/z/lancelcy/R21/mfbs/226.npy,{4|5|6|5|6},{6|7|6|6|7},226,2,1,0.0;0.0;1.0
127,personal,1830001,2.0,/z/lancelcy/R21/mfbs/227.npy,{3|5|5|5|5},{5|5|6|5|7},227,1,1,0.0;0.6;0.4
128,personal,1830001,2.0,/z/lancelcy/R21/mfbs/228.npy,{4|4|5|6|5|5},{5|5|6|5|5|5},228,1,1,0.0;0.8333333333333334;0.16666666666666666
129,personal,1830001,5.0,/z/lancelcy/R21/mfbs/229.npy,{5|1|5|6|6|5},{5|5|5|5|6|5},229,1,1,0.0;0.8333333333333334;0.16666666666666666
130,personal,1830001,11.0,/z/lancelcy/R21/mfbs/230.npy,{4|5|7|6|5},{5|5|5|6|5},230,1,1,0.0;0.8;0.2
131,personal,1830001,6.0,/z/lancelcy/R21/mfbs/231.npy,{5|4|6|5|7|7|6|5|4},{3|4|4|4|4|4|4|5|5},231,0,2,0.7777777777777778;0.2222222222222222;0.0
132,personal,1830001,10.0,/z/lancelcy/R21/mfbs/232.npy,{3|5|6|5|5},{4|6|5|5|5},232,1,1,0.2;0.6;0.2
133,personal,1830001,3.0,/z/lancelcy/R21/mfbs/233.npy,{5|7|4|6|6|5|6|7|7|6|7},{3|3|5|4|4|4|4|4|4|2|5},233,0,2,0.8181818181818182;0.18181818181818182;0.0
134,personal,1830001,3.0,/z/lancelcy/R21/mfbs/234.npy,{5|4|5|6|5|5},{4|5|4|4|5|4},234,0,1,0.6666666666666666;0.3333333333333333;0.0
135,personal,1830001,3.0,/z/lancelcy/R21/mfbs/236.npy,{5|7|7|6|8},{6|7|5|6|9},236,2,2,0.0;0.2;0.8
136,personal,1830001,3.0,/z/lancelcy/R21/mfbs/238.npy,{8|5|7|7|8|9},{8|7|7|6|7|8},238,2,2,0.0;0.0;1.0
137,personal,1830001,11.0,/z/lancelcy/R21/mfbs/239.npy,{6|6|7|7|8},{5|7|6|6|8},239,2,2,0.0;0.2;0.8
138,personal,1830001,12.0,/z/lancelcy/R21/mfbs/240.npy,{3|5|6|4|6},{6|6|6|5|8},240,2,0,0.0;0.2;0.8
139,personal,1830001,2.0,/z/lancelcy/R21/mfbs/241.npy,{5|4|4|6|5|5},{4|5|5|5|5|6},241,1,1,0.16666666666666666;0.6666666666666666;0.16666666666666666
140,personal,1830001,4.0,/z/lancelcy/R21/mfbs/242.npy,{3|3|5|3|4},{6|6|4|3|5},242,0,0,0.4;0.2;0.4
141,personal,1830001,2.0,/z/lancelcy/R21/mfbs/243.npy,{3|4|3|3|4|2},{3|4|3|4|4|3},243,0,0,1.0;0.0;0.0
142,personal,1830001,15.0,/z/lancelcy/R21/mfbs/244.npy,{3|5|6|4|6},{4|5|5|5|7},244,1,0,0.2;0.6;0.2
143,personal,1830001,2.0,/z/lancelcy/R21/mfbs/245.npy,{4|4|6|4|4},{5|5|5|4|5},245,1,0,0.2;0.8;0.0
144,personal,1830001,4.0,/z/lancelcy/R21/mfbs/246.npy,{3|3|4|3|4},{4|6|5|5|5},246,1,0,0.2;0.6;0.2
145,personal,1830001,4.0,/z/lancelcy/R21/mfbs/247.npy,{3|4|4|3|4},{4|5|5|4|4},247,0,0,0.6;0.4;0.0
146,personal,1830001,9.0,/z/lancelcy/R21/mfbs/248.npy,{3|4|6|4|4},{6|5|5|5|6},248,1,0,0.0;0.6;0.4
147,personal,1830001,2.0,/z/lancelcy/R21/mfbs/249.npy,{5|3|4|4|4|3},{5|5|6|6|5|4},249,1,0,0.16666666666666666;0.5;0.3333333333333333
148,personal,1830001,3.0,/z/lancelcy/R21/mfbs/250.npy,{3|5|6|5|6},{5|4|4|4|6},250,0,1,0.6;0.2;0.2
149,personal,1830001,2.0,/z/lancelcy/R21/mfbs/251.npy,{3|4|6|4|5},{5|6|5|4|5},251,1,0,0.2;0.6;0.2
150,personal,1830001,8.0,/z/lancelcy/R21/mfbs/252.npy,{3|3|4|3|3},{5|3|5|3|2},252,0,0,0.6;0.4;0.0
151,personal,1830001,2.0,/z/lancelcy/R21/mfbs/253.npy,{3|4|5|5|5},{4|5|6|5|5},253,1,1,0.2;0.6;0.2
152,personal,1830001,3.0,/z/lancelcy/R21/mfbs/254.npy,{3|3|3|3|3},{4|6|5|4|3},254,0,0,0.6;0.2;0.2
153,personal,1830001,5.0,/z/lancelcy/R21/mfbs/258.npy,{6|4|6|7|5|3},{5|5|4|5|5|4},258,1,2,0.3333333333333333;0.6666666666666666;0.0
154,personal,1830001,14.0,/z/lancelcy/R21/mfbs/272.npy,{6|4|5|7|6|5},{4|5|5|5|5|5},272,1,2,0.16666666666666666;0.8333333333333334;0.0
155,personal,1830001,3.0,/z/lancelcy/R21/mfbs/273.npy,{4|7|6|5|5},{5|4|5|5|5},273,1,1,0.2;0.8;0.0
156,personal,1830001,14.0,/z/lancelcy/R21/mfbs/275.npy,{4|5|7|6|5},{5|5|6|5|7},275,1,1,0.0;0.6;0.4
157,personal,1830001,8.0,/z/lancelcy/R21/mfbs/276.npy,{6|4|7|7|6|5},{4|5|4|4|4|4},276,0,2,0.8333333333333334;0.16666666666666666;0.0
158,personal,1830001,3.0,/z/lancelcy/R21/mfbs/277.npy,{4|6|7|5|6},{4|5|5|4|6},277,0,2,0.4;0.4;0.2
159,personal,1830001,8.0,/z/lancelcy/R21/mfbs/278.npy,{6|7|7|8|7},{5|5|4|4|3},278,0,2,0.6;0.4;0.0
160,personal,1830001,3.0,/z/lancelcy/R21/mfbs/280.npy,{4|6|7|5|4},{4|5|6|5|5},280,1,0,0.2;0.6;0.2
161,personal,1830001,9.0,/z/lancelcy/R21/mfbs/281.npy,{5|6|7|8|9},{5|4|4|5|4},281,0,2,0.6;0.4;0.0
162,personal,1830001,4.0,/z/lancelcy/R21/mfbs/283.npy,{6|4|6|6|5|5},{4|5|4|5|5|4},283,0,2,0.5;0.5;0.0
163,assessment,1830001,5.0,/z/lancelcy/R21/mfbs/290.npy,{5|2|5|5|3|4},{6|6|5|7|4|6},290,2,0,0.16666666666666666;0.16666666666666666;0.6666666666666666
164,assessment,1830001,14.0,/z/lancelcy/R21/mfbs/291.npy,{3|4|3|2|2},{4|3|6|4|4},291,0,0,0.8;0.0;0.2
165,assessment,1830001,12.0,/z/lancelcy/R21/mfbs/292.npy,{2|5|4|4|2},{4|5|6|5|5},292,1,0,0.2;0.6;0.2
166,assessment,1830001,11.0,/z/lancelcy/R21/mfbs/293.npy,{2|4|5|2|3},{3|4|4|3|3},293,0,0,1.0;0.0;0.0
